playlist_id,playlist_title,music_title,artist,video_id,video_url
PLrKAOHX96yPOVVDQ0pzi-xBe_-8Qtl2GK,Alternative,The Automotivo Infernal 1.0 - Red,MRL - Topic,GjWSm3BxqJQ,https://youtube.com/watch?v=GjWSm3BxqJQ
PLrKAOHX96yPOVVDQ0pzi-xBe_-8Qtl2GK,Alternative,"ZWE1HVNDXR, yatashigang - LOVELY BASTARDS (Remix)",TrapMusicHDTV,_vnoPUNkY4M,https://youtube.com/watch?v=_vnoPUNkY4M
PLrKAOHX96yPOVVDQ0pzi-xBe_-8Qtl2GK,Alternative,Bakermat - Baianá (Official Video),BakermatVEVO,iaGjz4dtr3o,https://youtube.com/watch?v=iaGjz4dtr3o
PLrKAOHX96yPOVVDQ0pzi-xBe_-8Qtl2GK,Alternative,Molchat Doma - Sudno (dir. by @blood.doves),Molchat Doma,91GTuZWCQmY,https://youtube.com/watch?v=91GTuZWCQmY
PLrKAOHX96yPOVVDQ0pzi-xBe_-8Qtl2GK,Alternative,Nicki Minaj - Everybody (Visualizer) ft. Lil Uzi Vert,NickiMinajAtVEVO,3g5AbGTqvt0,https://youtube.com/watch?v=3g5AbGTqvt0
PLrKAOHX96yPOVVDQ0pzi-xBe_-8Qtl2GK,Alternative,MONTAGEM CORAL (feat. Mc Cyclope),DJ Holanda - Topic,y6AkJeZ9KTE,https://youtube.com/watch?v=y6AkJeZ9KTE
PLrKAOHX96yPOVVDQ0pzi-xBe_-8Qtl2GK,Alternative,BENNETT - Vois sur ton chemin (Techno Mix) [Official Visualizer],BENNETT,m35814IPIZw,https://youtube.com/watch?v=m35814IPIZw
PLrKAOHX96yPOVVDQ0pzi-xBe_-8Qtl2GK,Alternative,Bella Ciao (Hard Techno Remix),Jayron - Topic,InZ44_NC2a4,https://youtube.com/watch?v=InZ44_NC2a4
PLrKAOHX96yPOVVDQ0pzi-xBe_-8Qtl2GK,Alternative,DERNIERE DANSE (HARDSTYLE),Enmity - Topic,rwzAzs9e-7g,https://youtube.com/watch?v=rwzAzs9e-7g
PLrKAOHX96yPOVVDQ0pzi-xBe_-8Qtl2GK,Alternative,HIROMI'S SONICBLOOM Time Difference HQ,Carlos López,cUUcHuy12ZQ,https://youtube.com/watch?v=cUUcHuy12ZQ
PLrKAOHX96yPOVVDQ0pzi-xBe_-8Qtl2GK,Alternative,I'm Gonna Live Till I Die,Frank Sinatra - Topic,ebnpNqczWpM,https://youtube.com/watch?v=ebnpNqczWpM
PLrKAOHX96yPOVVDQ0pzi-xBe_-8Qtl2GK,Alternative,Liszt - Hungarian Rhapsody No.  2,Rousseau,ALqOKq0M6ho,https://youtube.com/watch?v=ALqOKq0M6ho
PLrKAOHX96yPOVVDQ0pzi-xBe_-8Qtl2GK,Alternative,Finale (William Tell Overture),Hans Zimmer - Topic,AnNKsk2a0fI,https://youtube.com/watch?v=AnNKsk2a0fI
PLrKAOHX96yPOVVDQ0pzi-xBe_-8Qtl2GK,Alternative,Hungarian Dance no. 5,Johannes Brahms - Topic,-HNmVe0Mmek,https://youtube.com/watch?v=-HNmVe0Mmek
